stage,group,date,home,away,p_home,p_draw,p_away,lam_home,lam_away,exp_total_goals,favorite,confidence_band,openness,decisiveness,character
group,A,2026-06-11,MEX,RSA,0.4609,0.3304,0.2087,0.602,0.433,1.035,MEX,2-way-split,low-scoring grind,comfortable,"A tight, low-scoring grind — a comfortable edge for the favorite."
group,A,2026-06-11,KOR,CZE,0.2952,0.3656,0.3393,0.376,0.557,0.933,CZE,3-way-split,low-scoring grind,coin-flip,"A tight, low-scoring grind — the models can't agree, a coin-flip that could easily end level."
group,A,2026-06-18,CZE,RSA,0.4053,0.3641,0.2306,0.603,0.352,0.955,CZE,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,A,2026-06-18,MEX,KOR,0.3868,0.3558,0.2575,0.555,0.463,1.018,MEX,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,A,2026-06-24,RSA,KOR,0.2479,0.3772,0.3749,0.36,0.417,0.777,KOR,3-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — the models can't agree, a competitive, winnable-either-way match."
group,A,2026-06-24,CZE,MEX,0.302,0.3222,0.3759,0.67,0.542,1.213,MEX,3-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — the models can't agree, a competitive, winnable-either-way match."
group,B,2026-06-12,CAN,BIH,0.4432,0.3113,0.2456,0.773,0.574,1.347,CAN,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,B,2026-06-13,QAT,SUI,0.1798,0.3109,0.5092,0.35,0.858,1.208,SUI,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,B,2026-06-18,SUI,BIH,0.4763,0.2968,0.2269,0.757,0.639,1.396,SUI,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,B,2026-06-18,CAN,QAT,0.4647,0.3228,0.2125,0.877,0.35,1.227,CAN,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,B,2026-06-24,SUI,CAN,0.3687,0.3238,0.3074,0.636,0.723,1.358,SUI,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,B,2026-06-24,BIH,QAT,0.3718,0.3411,0.2871,0.775,0.35,1.125,BIH,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,C,2026-06-13,BRA,MAR,0.402,0.3403,0.2577,0.804,0.503,1.306,BRA,golden-zone,low-scoring grind,competitive,"A tight, low-scoring grind — all three models agree, a competitive, winnable-either-way match."
group,C,2026-06-13,HAI,SCO,0.2284,0.3573,0.4143,0.35,0.511,0.861,SCO,3-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — the models can't agree, a competitive, winnable-either-way match."
